keywords,siglaTipo,sexo
 Lei da Bolsa Atleta,PL,masculino
 criação,PL,masculino
 Categoria Estudantil de Base,PL,masculino
 incentivo,PL,masculino
 estudante,PL,masculino
 requisito,PL,masculino
 bolsa-atleta.,PL,masculino
Criação,PL,masculino
 Selo Escola Democrática,PL,masculino
 escola pública,PL,masculino
 educação básica,PL,masculino
 democratização,PL,masculino
 gestão escolar.,PL,masculino
Alteração,PL,masculino
 lei federal,PL,masculino
 Plano Nacional de Educação (PNE),PL,masculino
 inclusão,PL,masculino
 Exame Nacional do Ensino Médio (Enem),PL,masculino
 Sistema de Avaliação da Educação Básica (SAEB).,PL,masculino
Alteração,PL,feminino
 Lei de Cotas de Ingresso nas Universidades,PL,feminino
 reserva,PL,feminino
 vaga na escola,PL,feminino
 pessoa com deficiência,PL,feminino
 instituição federal de ensino.,PL,feminino
Alteração,PL,masculino
 lei federal,PL,masculino
 retirada,PL,masculino
 benefício,PL,masculino
 ex-presidente da república,PL,masculino
 condenação,PL,masculino
 segunda instância,PL,masculino
 trânsito em julgado,PL,masculino
 crime,PL,masculino
 Lei das Inelegibilidades.,PL,masculino
Alteração,PL,masculino
 decreto-lei,PL,masculino
 bagagem,PL,masculino
 passageiro,PL,masculino
 país estrangeiro,PL,masculino
 mercadoria abandonada,PL,masculino
 pena de perdimento,PL,masculino
 fazenda nacional,PL,masculino
  cessão,PL,masculino
